[2026-07-09 16:07:07] TRADE MATCHED: Ticker: TATAMOTORS | Buy Order: 12 | Sell Order: 9 | Price: ₹608.12 | Qty: 12 | Total: ₹7297.44
[2026-07-09 16:08:05] TRADE MATCHED: Ticker: TATAMOTORS | Buy Order: 14 | Sell Order: 9 | Price: ₹608.12 | Qty: 1 | Total: ₹608.12
[2026-07-09 16:08:06] TRADE MATCHED: Ticker: TATAMOTORS | Buy Order: 14 | Sell Order: 5 | Price: ₹609.05 | Qty: 6 | Total: ₹3654.30
[2026-07-09 16:08:06] TRADE MATCHED: Ticker: HDFCBANK | Buy Order: 15 | Sell Order: 3 | Price: ₹1617.93 | Qty: 2 | Total: ₹3235.86
[2026-07-09 16:08:09] TRADE MATCHED: Ticker: TATAMOTORS | Buy Order: 14 | Sell Order: 17 | Price: ₹618.26 | Qty: 5 | Total: ₹3091.30
[2026-07-09 16:08:12] TRADE MATCHED: Ticker: SUNPHARMA | Buy Order: 21 | Sell Order: 16 | Price: ₹1133.46 | Qty: 2 | Total: ₹2266.92
[2026-07-09 16:08:12] TRADE MATCHED: Ticker: RELIANCE | Buy Order: 4 | Sell Order: 23 | Price: ₹2500.00 | Qty: 6 | Total: ₹15000.00
[2026-07-09 16:08:15] TRADE MATCHED: Ticker: HDFCBANK | Buy Order: 24 | Sell Order: 3 | Price: ₹1617.93 | Qty: 2 | Total: ₹3235.86
[2026-07-09 16:14:42] TRADE MATCHED: Ticker: SUNPHARMA | Buy Order: 29 | Sell Order: 16 | Price: ₹1133.46 | Qty: 2 | Total: ₹2266.92
[2026-07-09 16:14:46] TRADE MATCHED: Ticker: RELIANCE | Buy Order: 30 | Sell Order: 34 | Price: ₹2533.21 | Qty: 3 | Total: ₹7599.63
[2026-07-09 16:14:46] TRADE MATCHED: Ticker: SUNPHARMA | Buy Order: 36 | Sell Order: 16 | Price: ₹1133.46 | Qty: 6 | Total: ₹6800.76
[2026-07-09 16:14:46] TRADE MATCHED: Ticker: TCS | Buy Order: 37 | Sell Order: 10 | Price: ₹3363.65 | Qty: 4 | Total: ₹13454.60
[2026-07-09 16:14:52] TRADE MATCHED: Ticker: TATAMOTORS | Buy Order: 48 | Sell Order: 22 | Price: ₹605.98 | Qty: 7 | Total: ₹4241.86
[2026-07-09 16:14:54] TRADE MATCHED: Ticker: RELIANCE | Buy Order: 50 | Sell Order: 44 | Price: ₹2517.93 | Qty: 14 | Total: ₹35251.02
[2026-07-09 16:14:55] TRADE MATCHED: Ticker: HDFCBANK | Buy Order: 54 | Sell Order: 26 | Price: ₹1614.71 | Qty: 5 | Total: ₹8073.55
[2026-07-09 16:14:56] TRADE MATCHED: Ticker: TATAMOTORS | Buy Order: 49 | Sell Order: 55 | Price: ₹605.16 | Qty: 7 | Total: ₹4236.12
[2026-07-09 16:14:58] TRADE MATCHED: Ticker: TATAMOTORS | Buy Order: 59 | Sell Order: 22 | Price: ₹605.98 | Qty: 4 | Total: ₹2423.92
[2026-07-09 16:15:00] TRADE MATCHED: Ticker: HDFCBANK | Buy Order: 61 | Sell Order: 26 | Price: ₹1614.71 | Qty: 7 | Total: ₹11302.97
[2026-07-09 16:15:00] TRADE MATCHED: Ticker: HDFCBANK | Buy Order: 61 | Sell Order: 3 | Price: ₹1617.93 | Qty: 6 | Total: ₹9707.58
[2026-07-09 16:15:01] TRADE MATCHED: Ticker: RELIANCE | Buy Order: 40 | Sell Order: 63 | Price: ₹2559.82 | Qty: 5 | Total: ₹12799.10
[2026-07-09 16:15:02] TRADE MATCHED: Ticker: RELIANCE | Buy Order: 40 | Sell Order: 65 | Price: ₹2559.82 | Qty: 4 | Total: ₹10239.28
[2026-07-09 16:15:02] TRADE MATCHED: Ticker: RELIANCE | Buy Order: 38 | Sell Order: 65 | Price: ₹2541.88 | Qty: 3 | Total: ₹7625.64
[2026-07-09 16:15:05] TRADE MATCHED: Ticker: HDFCBANK | Buy Order: 69 | Sell Order: 26 | Price: ₹1614.71 | Qty: 8 | Total: ₹12917.68
[2026-07-09 16:15:07] TRADE MATCHED: Ticker: SUNPHARMA | Buy Order: 39 | Sell Order: 74 | Price: ₹1140.02 | Qty: 5 | Total: ₹5700.10
[2026-07-09 16:15:08] TRADE MATCHED: Ticker: SUNPHARMA | Buy Order: 36 | Sell Order: 74 | Price: ₹1137.54 | Qty: 5 | Total: ₹5687.70
